Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.490000,30.642857,30.340000,30.572857,27.505054,123432400
2010-01-05,30.657143,30.798571,30.464285,30.625713,27.552608,150476200
2010-01-06,30.625713,30.747143,30.107143,30.138571,27.114347,138040000
2010-01-07,30.250000,30.285715,29.864286,30.082857,27.064222,119282800
2010-01-08,30.042856,30.285715,29.865715,30.282858,27.244156,111902700
2010-01-11,30.400000,30.428572,29.778572,30.015715,27.003820,115557400
2010-01-12,29.884285,29.967142,29.488571,29.674286,26.696650,148614900
2010-01-13,29.695715,30.132856,29.157143,30.092857,27.073221,151473000
2010-01-14,30.015715,30.065714,29.860001,29.918571,26.916422,108223500
2010-01-15,30.132856,30.228571,29.410000,29.418571,26.466595,148516900
2010-01-19,29.761429,30.741428,29.605715,30.719999,27.637430,182501900
2010-01-20,30.701429,30.792856,29.928572,30.247143,27.212029,153038200
2010-01-21,30.297142,30.472857,29.601429,29.724285,26.741631,152038600
2010-01-22,29.540001,29.642857,28.165714,28.250000,25.415281,220441900
2010-01-25,28.930000,29.242857,28.598572,29.010000,26.099028,266424900
2010-01-26,29.421429,30.530001,28.940001,29.420000,26.467880,466777500
2010-01-27,29.549999,30.082857,28.504286,29.697144,26.717218,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469999,25.613209,293375600
2010-01-29,28.725714,28.885714,27.178572,27.437143,24.683992,311488100
2010-02-01,27.481428,28.000000,27.328571,27.818571,25.027143,187469100
2010-02-02,27.987143,28.045713,27.625713,27.980000,25.172379,174585600
2010-02-03,27.881428,28.600000,27.774286,28.461428,25.605494,153832000
2010-02-04,28.104286,28.338572,27.367144,27.435715,24.682707,189413000
2010-02-05,27.518572,28.000000,27.264286,27.922857,25.120964,212576700
2010-02-08,27.955715,28.268572,27.714285,27.731428,24.948748,119567700
2010-02-09,28.059999,28.214285,27.821428,28.027143,25.214790,158221700
2010-02-10,27.984285,28.085714,27.751429,27.874287,25.077271,92590400
2010-02-11,27.840000,28.535715,27.722857,28.381428,25.533520,137586400
2010-02-12,28.301428,28.805714,27.928572,28.625713,25.753294,163867200
2010-02-16,28.848572,29.098572,28.788572,29.057142,26.141434,135934400
2010-02-17,29.170000,29.187143,28.694286,28.935715,26.032190,109099200
2010-02-18,28.804285,29.127142,28.702858,28.990000,26.081034,105706300
2010-02-19,28.837143,29.028572,28.730000,28.809999,25.919090,103867400
2010-02-22,28.905714,28.928572,28.455715,28.631428,25.758438,97640900
2010-02-23,28.571428,28.761429,27.958570,28.151428,25.326601,143773700
2010-02-24,28.318571,28.777143,28.262857,28.665714,25.789278,115141600
2010-02-25,28.197144,28.980000,28.127142,28.857143,25.961504,166281500
