date,polarity,subjectivity
2010-01-01,0.114144623632,0.28019004884
2010-01-02,0.0880658935274,0.294576143458
2010-01-03,0.112992503119,0.302608196988
2010-01-04,0.0802169505379,0.263498566711
2010-01-05,0.0993208979962,0.28103334974
2010-01-06,0.0905655905135,0.281097587551
2010-01-07,0.109674414572,0.308563860158
2010-01-08,0.0881023964097,0.300803363511
2010-01-09,0.125524478602,0.321205935821
2010-01-10,0.12535770177,0.314488034188
2010-01-11,0.0969575114254,0.291853163494
2010-01-12,0.0933662715916,0.317706459836
2010-01-13,0.0928627644375,0.264543624339
2010-01-14,0.0890589762408,0.266332789803
2010-01-15,0.10365634006,0.275796474868
2010-01-16,0.106266868907,0.271415175426
2010-01-17,0.119243929323,0.31271113456
2010-01-18,0.106331356287,0.28610098397
2010-01-19,0.096609926422,0.308409265873
2010-01-20,0.11059562916,0.286830996633
2010-01-21,0.102136683682,0.265020069565
2010-01-22,0.109537827,0.333690061975
2010-01-23,0.0747286804706,0.305321732897
2010-01-24,0.131163688539,0.292498560606
2010-01-25,0.0717180997822,0.231183099678
2010-01-26,0.100479047694,0.305449638047
2010-01-27,0.0962027364319,0.277736420397
2010-01-28,0.114529381568,0.293045374995
2010-01-29,0.0870319871491,0.296529387557
2010-01-30,0.0930982680073,0.237993309422
2010-01-31,0.115784840918,0.38379032147
2010-02-01,0.173124535335,0.298929784209
2010-02-02,0.117756073151,0.29652767693
2010-02-03,0.157508545969,0.337926620195
2010-02-04,0.0977055835513,0.283001954666
2010-02-05,0.111988965786,0.285311193529
2010-02-06,0.145628788083,0.335041666898
2010-02-07,0.138429016575,0.299733873817
2010-02-08,0.175495156288,0.275268062771
2010-02-09,0.0804632474773,0.265346874491
2010-02-10,0.0902669792476,0.198650517094
2010-02-11,0.119248897607,0.264577995985
2010-02-12,0.161736287352,0.31589298655
2010-02-13,0.170691853192,0.293932401154
2010-02-14,0.144630940691,0.30573042037
2010-02-15,0.13356469476,0.265485191132
2010-02-16,0.15922889319,0.296494187812
2010-02-17,0.164788695763,0.3072459207
2010-02-18,0.107275067927,0.284908216598
2010-02-19,0.109558840396,0.280658046213
2010-02-20,0.163031671774,0.331973707219
2010-02-21,0.344375836419,0.338133966561
2010-02-22,0.144521827631,0.326552417174
2010-02-23,0.150814398148,0.307171556037
2010-02-24,0.164909357353,0.292612630471
2010-02-25,0.131067378381,0.305948038374
2010-02-26,0.148714296147,0.27542309223
2010-02-27,0.17313049017,0.321217450247
2010-02-28,0.234282493274,0.4186278367
2010-03-01,0.141788336114,0.318563410293
2010-03-02,0.242617798521,0.429387408286
2010-03-03,0.0920163657407,0.278419274291
2010-03-04,0.0770409280229,0.242584768889
2010-03-05,0.0937110260623,0.240055785233
2010-03-06,0.194092338008,0.325721362734
2010-03-07,0.182184219744,0.331984859169
2010-03-08,0.147415971682,0.317624704347
2010-03-09,0.104497789014,0.286343738114
2010-03-10,0.171994832214,0.32313984127
2010-03-11,0.148220752287,0.296420728298
2010-03-12,0.137829267959,0.346543115681
2010-03-13,0.148398498026,0.308000053716
2010-03-14,0.161539633406,0.316180337278
2010-03-15,0.152595641121,0.308643531284
2010-03-16,0.117402735972,0.321714765834
2010-03-17,0.162328016317,0.276987659331
2010-03-18,0.172217368826,0.263730329561
2010-03-19,0.1596800772,0.268064220894
2010-03-20,0.155851733406,0.297848314462
2010-03-21,0.140750551763,0.247583959281
2010-03-22,0.117935473112,0.315616698718
2010-03-23,0.154175484091,0.264425348628
2010-03-24,0.14735331875,0.295457034282
2010-03-25,0.13342362411,0.324545127095
2010-03-26,0.103736151874,0.230490559764
2010-03-27,0.180444008653,0.315577787154
2010-03-28,0.136606054628,0.301582490317
2010-03-29,0.117404880191,0.316239949495
2010-03-30,0.127555792247,0.303391130814
2010-03-31,0.143877664316,0.285085706064
2010-04-01,0.216791436162,0.304889176472
2010-04-02,0.121855919937,0.287329466691
2010-04-03,0.164789983488,0.321367432498
2010-04-04,0.146816756695,0.34397046805
2010-04-05,0.139444109252,0.286930026738
2010-04-06,0.14340916731,0.280199284651
2010-04-07,0.146109900799,0.283406954897
2010-04-08,0.102417927489,0.247142628367
2010-04-09,0.106987881251,0.320748400997
2010-04-10,0.106181317678,0.282847248076
2010-04-11,0.173842611859,0.313460233271
2010-04-12,0.178952198548,0.302414055435
2010-04-13,0.141847212189,0.308140193903
2010-04-14,0.113269949868,0.258919965104
2010-04-15,0.133052795823,0.26994227603
2010-04-16,0.152584327689,0.294660495222
2010-04-17,0.136858091021,0.308041064957
2010-04-18,0.14198848593,0.304410187395
2010-04-19,0.231579194824,0.336157349687
2010-04-20,0.085302199936,0.216946470058
2010-04-21,0.319957586121,0.29609842323
2010-04-22,0.295641864663,0.305213031876
2010-04-23,0.231014015481,0.312226309015
2010-04-24,0.15003510636,0.279565898523
2010-04-25,0.14804091668,0.271951070827
2010-04-26,0.074541450624,0.279107807517
2010-04-27,0.116518378991,0.25226963925
2010-04-28,0.24170021024,0.259783201567
2010-04-29,0.130839583408,0.266327359909
2010-04-30,0.141541289909,0.286343422619
2010-05-01,0.144089502538,0.280360999107
2010-05-02,0.230791133696,0.300996813973
2010-05-03,0.228868406842,0.264561224632
2010-05-04,0.255187244078,0.288755708736
2010-05-05,0.183516574788,0.298072192761
2010-05-06,0.170365384612,0.293915174363
2010-05-07,0.110730487743,0.241810206136
2010-05-08,0.213120602944,0.328695981426
2010-05-09,0.126332388509,0.20766742822
2010-05-10,0.128105636117,0.295541720118
2010-05-11,0.219968427955,0.282172486171
