date,polarity
2010-01-01,1.36773683564e-10
2010-01-02,0.000136363737168
2010-01-03,0.000250000351153
2010-01-04,1.0030071872e-09
2010-01-05,5.10010010013e-05
2010-01-06,-0.000400400401105
2010-01-07,-6.0361461013e-13
2010-01-08,-1.01005085975e-05
2010-01-09,-5.0477889059e-16
2010-01-10,3.75375375375e-07
2010-01-11,1.2412211811e-07
2010-01-12,-3.14664442511e-23
2010-01-13,2.00601402905e-07
2010-01-14,3.78380667499e-14
2010-01-15,-0.000812500100301
2010-01-16,-0.000517062914755
2010-01-17,5.00500500501e-07
2010-01-18,6.82502048981e-05
2010-01-19,6.25625626804e-08
2010-01-20,3.34687780458e-10
2010-01-21,0.000100000000137
2010-01-22,0.000136363636364
2010-01-23,5.02006520365e-10
2010-01-24,0.000600000000001
2010-01-25,1.36528465454e-10
2010-01-26,4.01203210445e-10
2010-01-27,1.35153675568e-07
2010-01-28,-0.000131567931567
2010-01-29,2.00567969439e-07
2010-01-30,6.94315863916e-05
2010-01-31,4.34201736988e-07
2010-02-01,5.02505012535e-05
2010-02-02,5.10634334504e-22
2010-02-03,0.000136500638141
2010-02-04,5.18381020474e-28
2010-02-05,1.36500273685e-07
2010-02-06,-1.00099731287e-07
2010-02-07,-0.000599999998995
2010-02-08,-0.000408163265252
2010-02-09,1.00601747674e-13
2010-02-10,-2.51506186442e-13
2010-02-11,-1.251502003e-07
2010-02-12,-1.001001001e-07
2010-02-13,-5.0049998631e-07
2010-02-14,-0.000499999498496
2010-02-15,0.000136864136864
2010-02-16,0.000300000338515
2010-02-17,-4.08782847635e-13
2010-02-18,0.000136363636364
2010-02-19,-0.000165965965966
2010-02-20,-5.22444205347e-29
2010-02-21,0.000566766767213
2010-02-22,8.92596669316e-19
2010-02-23,1.63793111928e-64
2010-02-24,0.000124090909091
2010-02-25,-3.70736096447e-06
2010-02-26,1.36867905739e-07
2010-02-27,0.000334334334334
2010-02-28,3.18500570411e-07
2010-03-01,0.00025833398569
2010-03-02,2.01205018061e-13
2010-03-03,-0.000182291744511
2010-03-04,1.37538900889e-13
2010-03-05,0.000145619564102
2010-03-06,-1.87687876507e-07
2010-03-07,2.02013070033e-16
2010-03-08,-4.57811322265e-10
2010-03-09,5.05794031631e-16
2010-03-10,-0.000112876741798
2010-03-11,8.00800801122e-07
2010-03-12,-0.000376884422111
2010-03-13,9.99499499499e-05
2010-03-14,2.51506230533e-13
2010-03-15,0.000316567319793
2010-03-16,1.10188947459e-16
2010-03-17,-6.01401798983e-10
2010-03-18,-0.00050000000005
2010-03-19,0.000222717149066
2010-03-20,0.000250000626754
2010-03-21,1.02144177968e-21
2010-03-22,3.190185668e-13
2010-03-23,0.00035
2010-03-24,-2.21433554767e-07
2010-03-25,0.000350200451089
2010-03-26,0.000500000000268
2010-03-27,1.38591728941e-16
2010-03-28,2.50250250755e-07
2010-03-29,5.18441329287e-10
2010-03-30,5e-05
2010-03-31,5.05235704066e-16
2010-04-01,2.67134402938e-07
2010-04-02,5.01003010034e-08
2010-04-03,1.28153958577e-07
2010-04-04,-1.8018018017e-05
2010-04-05,-5.00501002507e-05
2010-04-06,0.0001365006145
2010-04-07,-1.66834103782e-07
2010-04-08,3.3443629102e-07
2010-04-09,5.84873824385e-07
2010-04-10,6.06197683398e-05
2010-04-11,9.62939674931e-12
2010-04-12,8.49167348162e-05
2010-04-13,0.000250070830152
2010-04-14,0.000499916182047
2010-04-15,2.56450657252e-10
2010-04-16,-1.76761436549e-16
2010-04-17,5.14513740553e-25
2010-04-18,-1.00401002306e-07
2010-04-19,3.33665428419e-08
2010-04-20,1.02846794462e-25
2010-04-21,9.09092276833e-05
2010-04-22,4.3616305329e-13
2010-04-23,5.07570528497e-19
2010-04-24,-1.00300701503e-10
2010-04-25,0.0004
2010-04-26,3.76127631018e-10
2010-04-27,0.0005
2010-04-28,1.38446987318e-16
2010-04-29,-4.50926878783e-07
2010-04-30,8.01963669423e-11
2010-05-01,-3.77258372172e-14
2010-05-02,1.66833500268e-07
2010-05-03,1.36499968829e-07
2010-05-04,6.68671343354e-10
2010-05-05,0.000450450901804
2010-05-06,0.0002004004004
2010-05-07,5.01503511385e-11
2010-05-08,3.00569892161e-07
2010-05-09,0.000400000000327
2010-05-10,1.50641840404e-28
2010-05-11,3.26021166417e-52
2010-05-12,1.01006535274e-16
2010-05-13,0.000200051053194
2010-05-14,-0.000145979563398
2010-05-15,6.83184553444e-08
2010-05-16,0.000800000000805
2010-05-17,8.83348187441e-13
2010-05-18,-0.0003333336676
2010-05-19,1.27658583626e-22
2010-05-20,2.25225225225e-07
2010-05-21,0.000299999623873
2010-05-22,0.000136431886569
