date,pos_score,neg_score
2010-01-01,0.75974025974,0.350649350649
2010-01-02,0.704142011834,0.378698224852
2010-01-03,0.634020618557,0.427835051546
2010-01-04,0.614285714286,0.478571428571
2010-01-05,0.654028436019,0.445497630332
2010-01-06,0.610328638498,0.483568075117
2010-01-07,0.744186046512,0.372093023256
2010-01-08,0.775119617225,0.325358851675
2010-01-09,0.658986175115,0.423963133641
2010-01-10,0.75,0.339285714286
2010-01-11,0.695402298851,0.419540229885
2010-01-12,0.690476190476,0.375
2010-01-13,0.673913043478,0.405797101449
2010-01-14,0.64375,0.425
2010-01-15,0.640522875817,0.40522875817
2010-01-16,0.754716981132,0.314465408805
2010-01-17,0.674556213018,0.390532544379
2010-01-18,0.707142857143,0.364285714286
2010-01-19,0.83,0.24
2010-01-20,0.717391304348,0.391304347826
2010-01-21,0.641025641026,0.416666666667
2010-01-22,0.666666666667,0.378205128205
2010-01-23,0.626168224299,0.434579439252
2010-01-24,0.702702702703,0.391891891892
2010-01-25,0.839160839161,0.223776223776
2010-01-26,0.64,0.4
2010-01-27,0.651515151515,0.449494949495
2010-01-28,0.693548387097,0.381720430108
2010-01-29,0.578651685393,0.511235955056
2010-01-30,0.746835443038,0.360759493671
2010-01-31,0.613333333333,0.52
2010-02-01,0.705555555556,0.35
2010-02-02,0.710691823899,0.364779874214
2010-02-03,0.718518518519,0.4
2010-02-04,0.80193236715,0.323671497585
2010-02-05,0.670967741935,0.412903225806
2010-02-06,0.705521472393,0.368098159509
2010-02-07,0.748502994012,0.353293413174
2010-02-08,0.69918699187,0.39837398374
2010-02-09,0.719512195122,0.310975609756
2010-02-10,0.755395683453,0.352517985612
2010-02-11,0.710743801653,0.380165289256
2010-02-12,0.7375,0.35
2010-02-13,0.736434108527,0.37984496124
2010-02-14,0.732283464567,0.346456692913
2010-02-15,0.698275862069,0.370689655172
2010-02-16,0.686170212766,0.38829787234
2010-02-17,0.638888888889,0.423611111111
2010-02-18,0.538461538462,0.531468531469
2010-02-19,0.576,0.496
2010-02-20,0.666666666667,0.424242424242
