date,alert,happy,sad,surprise
2010-01-01,0.12476011104,0.39008313416,0.09420255574,0.27535550426
2010-01-02,0.06970116274,0.25495724082,0.1522756908,0.30930703282
2010-01-03,0.15383302458,0.25054387002,0.07969629764,0.3536731124
2010-01-04,0.08071430772,0.29804366828,0.0853078656,0.2490961194
2010-01-05,0.203399764,0.1650916919,0.14803214856,0.29820376338
2010-01-06,0.15223737658,0.17520286738,0.09803581836,0.35576753616
2010-01-07,0.10190202,0.37383891642,0.08263959882,0.30284131766
2010-01-08,0.36251794398,0.15043369158,0.11074112508,0.24851859806
2010-01-09,0.09599850252,0.30356501938,0.18529442552,0.30158144086
2010-01-10,0.3112785086,0.13581442908,0.09372389502,0.3552673459
2010-01-11,0.05591144488,0.40048813224,0.08587805182,0.26350924372
2010-01-12,0.13507971168,0.24326671362,0.06818983704,0.32703731062
2010-01-13,0.09962944686,0.42636369764,0.15259738638,0.21128862798
2010-01-14,0.11896657346,0.29201129824,0.12437901944,0.27411132156
2010-01-15,0.1016964808,0.41249505284,0.06868970914,0.27292882654
2010-01-16,0.12122481464,0.20558298212,0.1201583922,0.37952822446
2010-01-17,0.14458810986,0.14251163156,0.13617925644,0.39782360196
2010-01-18,0.09578511716,0.30168687402,0.09861441702,0.22033329086
2010-01-19,0.19023281188,0.29849330188,0.0765123118,0.2632299185
2010-01-20,0.14504949002,0.28819992392,0.10690823942,0.22650740146
2010-01-21,0.15319394248,0.2847915813,0.09953995944,0.27239972354
2010-01-22,0.26735396534,0.16351802126,0.12678292842,0.29248509406
2010-01-23,0.17626980096,0.19923841954,0.06502536386,0.33528394698
2010-01-24,0.19840319754,0.21713214518,0.10070248618,0.33025791046
2010-01-25,0.13813186586,0.23956579418,0.1259284392,0.3208707154
2010-01-26,0.12343405412,0.2760689214,0.07950108496,0.28140728774
2010-01-27,0.23588187396,0.1690698404,0.09190852718,0.41209636926
2010-01-28,0.20022949278,0.22124057708,0.1081974387,0.39673826992
2010-01-29,0.22461198122,0.16563862858,0.11934508308,0.30403406622
2010-01-30,0.1782714069,0.17112882436,0.21734702662,0.28887208404
2010-01-31,0.08868649714,0.30348408222,0.24598367214,0.2430698946
