date,alert,happy,sad,surprise
2010-01-01,0.164588528678,0.740648379052,0.0374064837905,0.0573566084788
2010-01-02,0.281609195402,0.614942528736,0.0574712643678,0.0459770114943
2010-01-03,0.282828282828,0.646464646465,0.0151515151515,0.0555555555556
2010-01-04,0.359430604982,0.572953736655,0.017793594306,0.0498220640569
2010-01-05,0.320754716981,0.582210242588,0.0619946091644,0.0350404312668
2010-01-06,0.351498637602,0.564032697548,0.0299727520436,0.0544959128065
2010-01-07,0.247787610619,0.675516224189,0.0501474926254,0.0265486725664
2010-01-08,0.247572815534,0.672330097087,0.0339805825243,0.0461165048544
2010-01-09,0.322966507177,0.595693779904,0.0287081339713,0.0526315789474
2010-01-10,0.219844357977,0.727626459144,0.0175097276265,0.0350194552529
2010-01-11,0.279816513761,0.646788990826,0.0435779816514,0.0298165137615
2010-01-12,0.253822629969,0.681957186544,0.0214067278287,0.0428134556575
2010-01-13,0.302547770701,0.617834394904,0.031847133758,0.0477707006369
2010-01-14,0.277456647399,0.656069364162,0.014450867052,0.0520231213873
2010-01-15,0.272506082725,0.656934306569,0.036496350365,0.0340632603406
2010-01-16,0.246006389776,0.693290734824,0.0255591054313,0.0351437699681
2010-01-17,0.241573033708,0.620786516854,0.0898876404494,0.0477528089888
2010-01-18,0.264492753623,0.597826086957,0.0615942028986,0.0760869565217
2010-01-19,0.190709046455,0.689486552567,0.0709046454768,0.0488997555012
2010-01-20,0.272151898734,0.696202531646,0.0158227848101,0.0158227848101
2010-01-21,0.303514376997,0.594249201278,0.00638977635783,0.0958466453674
2010-01-22,0.250728862974,0.644314868805,0.0349854227405,0.069970845481
2010-01-23,0.308080808081,0.621212121212,0.0151515151515,0.0555555555556
2010-01-24,0.231927710843,0.680722891566,0.0421686746988,0.0451807228916
2010-01-25,0.234848484848,0.734848484848,0.00378787878788,0.0265151515152
2010-01-26,0.310580204778,0.607508532423,0.0341296928328,0.0477815699659
2010-01-27,0.257709251101,0.693832599119,0.0176211453744,0.0308370044053
2010-01-28,0.30407523511,0.620689655172,0.0313479623824,0.0438871473354
2010-01-29,0.396551724138,0.540229885057,0.0373563218391,0.0258620689655
2010-01-30,0.194690265487,0.756637168142,0.0309734513274,0.0176991150442
2010-01-31,0.327683615819,0.604519774011,0.0310734463277,0.0367231638418
2010-02-01,0.275659824047,0.66568914956,0.0263929618768,0.0322580645161
2010-02-02,0.236311239193,0.703170028818,0.0345821325648,0.0259365994236
2010-02-03,0.318032786885,0.629508196721,0.0229508196721,0.0295081967213
2010-02-04,0.267772511848,0.68009478673,0.0331753554502,0.0189573459716
2010-02-05,0.312080536913,0.61744966443,0.0369127516779,0.0335570469799
2010-02-06,0.343387470998,0.605568445476,0.0185614849188,0.0324825986079
2010-02-07,0.331606217617,0.60621761658,0.0310880829016,0.0310880829016
2010-02-08,0.243967828418,0.659517426273,0.0616621983914,0.0348525469169
2010-02-09,0.279863481229,0.641638225256,0.0546075085324,0.0238907849829
2010-02-10,0.228571428571,0.705714285714,0.0342857142857,0.0314285714286
2010-02-11,0.333333333333,0.583333333333,0.0454545454545,0.0378787878788
2010-02-12,0.255033557047,0.677852348993,0.0302013422819,0.0369127516779
2010-02-13,0.327868852459,0.613114754098,0.0327868852459,0.0262295081967
2010-02-14,0.243827160494,0.648148148148,0.0154320987654,0.0925925925926
2010-02-15,0.336283185841,0.569321533923,0.0560471976401,0.0383480825959
2010-02-16,0.332453825858,0.559366754617,0.0474934036939,0.0606860158311
2010-02-17,0.323834196891,0.580310880829,0.0233160621762,0.0725388601036
2010-02-18,0.368055555556,0.538194444444,0.0416666666667,0.0520833333333
2010-02-19,0.387186629526,0.523676880223,0.0557103064067,0.033426183844
2010-02-20,0.419847328244,0.486005089059,0.0229007633588,0.0712468193384
2010-02-21,0.59649122807,0.364912280702,0.0157894736842,0.0228070175439
2010-02-22,0.272727272727,0.632996632997,0.0505050505051,0.043771043771
2010-02-23,0.317757009346,0.604361370717,0.0436137071651,0.0342679127726
2010-02-24,0.288659793814,0.64175257732,0.0283505154639,0.0412371134021
2010-02-25,0.255617977528,0.63202247191,0.0308988764045,0.0814606741573
2010-02-26,0.216300940439,0.717868338558,0.0156739811912,0.0501567398119
2010-02-27,0.308571428571,0.594285714286,0.04,0.0571428571429
2010-02-28,0.28762541806,0.66889632107,0.0234113712375,0.0200668896321
2010-03-01,0.282967032967,0.637362637363,0.0247252747253,0.0549450549451
2010-03-02,0.32967032967,0.587912087912,0.0384615384615,0.043956043956
2010-03-03,0.469849246231,0.474874371859,0.0276381909548,0.0276381909548
2010-03-04,0.25641025641,0.65811965812,0.02849002849,0.0569800569801
2010-03-05,0.288659793814,0.652920962199,0.0103092783505,0.0481099656357
2010-03-06,0.330845771144,0.611940298507,0.0273631840796,0.0298507462687
2010-03-07,0.325925925926,0.611111111111,0.0222222222222,0.0407407407407
2010-03-08,0.305714285714,0.642857142857,0.0228571428571,0.0285714285714
2010-03-09,0.386503067485,0.570552147239,0.0245398773006,0.0184049079755
2010-03-10,0.358974358974,0.575498575499,0.034188034188,0.031339031339
2010-03-11,0.327380952381,0.571428571429,0.0505952380952,0.0505952380952
2010-03-12,0.145833333333,0.8125,0.0078125,0.0338541666667
2010-03-13,0.429951690821,0.514492753623,0.0193236714976,0.036231884058
2010-03-14,0.347826086957,0.576811594203,0.031884057971,0.0434782608696
2010-03-15,0.365079365079,0.544973544974,0.047619047619,0.042328042328
2010-03-16,0.285211267606,0.62676056338,0.0316901408451,0.056338028169
2010-03-17,0.25,0.686666666667,0.03,0.0333333333333
