retweets;favorites;text;mentions;hashtags
1;0;Microsoft 's 'Windows 10: The Next Chapter' event, join us Wednesday (live blog) - CNET @jonathanmusoke http://www. cnet.com/news/microsoft -windows-10-next-chapter-live-blog/ …;@jonathanmusoke;
0;0;After criticism from Microsoft , Google reveals more Windows security problems http:// fb.me/7dscrwVU9;;
0;0;NEC Mate MY26R/A-6 Core2Duo 2.66Ghz ディスプレイ無し Windows7 Professional 32bit DVD-ROM 1GB 80GB Microsoft http:// hb.afl.rakuten.co.jp/hgc/g00rxem5.2 ncy389a.g00rxem5.2ncy4a16/?pc=http%3A%2F%2Fitem.rakuten.co.jp%2Fdigitaldragonz%2Fmy26ra6romnone7p31gb13hb%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdigitaldragonz%2Fi%2F10015882%2F …;;
0;0;Top story: Microsoft 's 'Windows 10: The Next Chapter' event, join us Wednesday … http://www. cnet.com/news/microsoft -windows-10-next-chapter-live-blog … , see more http:// tweetedtimes.com/MichelRegamey/ technology?s=tnp …;;
0;0;#Amazon USA : #Microsoft #Office Professional 2010 - 2PC/1User (Disc Version) http:// bit.ly/xlmyS5;;#Amazon #Microsoft #Office
0;0;☆★☆ JOB ALERT ☆★☆ #ITJob #Job #Hartford - Senior Microsoft System Center Operations Manager http:// bit.ly/1IPqVUE ☜ view full details;;#ITJob #Job #Hartford
0;0;Microsoft went public in 1986, valued at $300m. It went to $300bn. Public shareholders got a thousand-time rise. W... http:// on.ft.com/1BCQAOi;;
0;0;Microsoft Natural Ergonomic Keyboard 4000 - USB: Microsoft ® Natural Ergonomic Keyboard 4000 Advanced Ergonomic... http:// bit.ly/1ywICWd;;
0;0;Microsoft Imagine, sitio de herramientas de programación para estudiantes de todo el mundo http://www. estamosenlinea.com/2015/01/15/mic rosoft-imagine-sitio-de-herramientas-de-programacion-para-estudiantes-de-todo-el-mundo … #programación;;#programaci
0;0;Microsoft Excel Top Tip Number 25 #Training #IT #Excel http:// goo.gl/SCtfj1 pic.twitter.com/VFWEAipXgA;;#Training #IT #Excel
0;1;@Deezyque Avec http:// keyboard-leds.com / Sinon avec un clavier Microsoft ou Logitech, il doit y avoir une option pour ça dans les pilotes.;@Deezyque;
0;0;New Microsoft patent could make phones less annoying in theatres http:// goo.gl/fb/86hDWf #digitaltech;;#digitaltech
