retweets;favorites;text;mentions;hashtags
30;41;Homemade Apple Pie Larabars are the perfect #GF , #Vegan , #Paleo + #Whole30 -friendly breakfast or snack! #RECIPE : http://www. bakerita.com/homemade-apple -pie-larabars-gluten-free-paleo-whole30-vegan/ … pic.twitter.com/kYqhsTosLQ;;#GF #Vegan #Paleo #Whole30 #RECIPE
1;0;Can someone sell me some apple headphones;;
0;0;one more element: firms like apple are only in name listed: Steve Jobs could just ignore shareholders. http:// evonomics.com/pursuit-shareh older-value-kills-innovation/ …;;
0;0;I only regret my number of Apple devices on update days.;;
0;1;New 52 week high Apple Computer $ AAPL 120.81;;
0;1;does anyone know what to do when your phone won't turn on? it'll show the white screen and black apple but then it goes dark please help;;
0;0;Apple chvou detest vs m'entendez??!!!? pic.twitter.com/VYsJ3YAfdQ;;
0;0;Apple iPhone 5C 16GB "Factory Unlocked" 4G LTE Smartphone in Cell Phones & Smartphones | eBay http:// ebay.to/2jVGPJJ;;
0;5;Why are Apple so fuckin awkward with their chargers;;
0;0;that sucks i'm gonna get the new apple tv;;
0;0;#Random I haven't had an apple pie from micky D's in forever.;;#Random
0;0;Libera @Apple actualización para tu iPhone o iPad ( iOS 10.2.1) https://www. facebook.com/CUBONoticiasMx /photos/a.1212150858818727.1073741829.1212149925485487/1411873665513111/?type=3 … pic.twitter.com/dfnCQTuhQu;@Apple;
0;0;Apple releases iOS 10.2.1 for iPhone, iPad, and iPod touch https:// 9to5mac.com/2017/01/23/ios -10-2-1/ … via @apollozac;@apollozac;
0;0;tiene un Apple Watch;;
0;0;Apple MacBook Pro 15 Zoll 256 SSD + 500 GB 8 GB RAM - http:// tinyurl.com/hs9rw9t pic.twitter.com/sZ3Y1IGChM;;
0;0;GamingBolt Apple MacBook Pro Giveaway by @gamingbruce http:// swee.ps/rBxWEWWU;@gamingbruce;
0;0;Apple iPhone 3G 16GB Black AT&T Smartphone Good Cosmetics iPhone ONLY http://www. 2daycellphones.com/US/landing-sta tic/twitter08/?id=http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337889852&item=122324498330&vectorid=229466&lgeo=1 … pic.twitter.com/Xl0cw13abK;;
0;0;Apple Watchの充電器は一個しか持ってないから朝からバタバタとアップデートしてきたよ。;;
0;0;can someone educate me on my @Apple iPad Pro . please & thank you;@Apple;
1;0;It's #patching time for #apple #cybersecurity #infosec http:// theregister.co.uk/2017/01/23/app le_fresh_crop_security_fixes/ …;;#patching #apple #cybersecurity #infosec
0;0;What a dream prize Would absolutely love an... alternative Apple Watch in my life!! Following and retweeted x pic.twitter.com/y2FKbB6Kyp;;
0;0;苹果在日本推出新广告：脱胎换骨的全新 Apple Music 苹果今天在日本推出新广告——脱胎换骨的全新 Apple Music——以宣传其流媒体音乐服务。“你的所有音乐，不论它们来自何处，都尽在你的 Apple Music资料库。即… http:// ift.tt/2kl9dWf;;
0;0;Apple 's Dangerous Gambit With Qualcomm - Techzone360 http:// ift.tt/2j7hLLp;;
0;0;macOS Sierraのアップデートは、外付けモニターを付けてると画面が真っ黒のままで何が起きているのかわからない。モニタを外して数分待ったがダメなので強制終了。 #macOS #problem #apple;;#macOS #problem #apple
