retweets;favorites;text;mentions;hashtags
0;0;I GOT THE JOB!!!! I guess I will be in the big apple this summer! Thank you to everyone that… https:// instagram.com/p/z0zps2kbRs/;;
1;1;. @tim_cook with all of Apple 's innovation and fancy technology, why can't y'all make a charger more than 2 ft long? #UncomfortablePositions;@tim_cook;#UncomfortablePositions
15;1;15 Images from Apple ’s Worldwide iPhone 6 Photo Contest http:// weeder.org/rLH4MyH #photography #arts;;#photography #arts
0;0;Apple le contestó al Samsung sobre la calidad de sus fotos http:// ift.tt/1KkP8qc;;
0;2;Had a blast in the big apple today ! #flyguy #Broadway #NYC #LionKing pic.twitter.com/oLHW6XJdG1;;#flyguy #Broadway #NYC #LionKing
3;6;These use cases @mattink imagines for Apple Watch is the first thing I have read that actually makes me love it https:// medium.com/backchannel/5- ideas-for-apple-watch-393a7a16f8a1 …;@mattink;
0;0;Harusnya dilakukan Peninjuaun Kembali terhadap putusan praperadilan Sarpin! Kok ada "rotten apple " seperti ini! #SaveKPK;;#SaveKPK
0;0;couple of minutes to bid on an apple iPhone 6 plus 16GB, near new condition. http://www. ebay.com.au/itm/Apple-iPho ne-6-Plus-16GB-Space-Grey-UNLOCKED-/231492308710?bvflow=0&rd=1 …;;
0;0;Dont miss it: The Gaming Industry: The Effects of DLC and Freemium Micro-Transactions http:// bit.ly/1DbEQPN #iphone #mobile #apple;;#iphone #mobile #apple
0;0;Dont miss it: 'iO - A Physics Platformer' Now Available on the App Store http:// bit.ly/1MRQyHr #iphone #mobile #apple;;#iphone #mobile #apple
0;0;The new Apple Emojis are great and all, but there needs to be some way to tell their political affiliation.;;
0;2;Louis woke me up from my nap with Apple juice and starburst;;
0;1;@emilydevlinxo goes to Starbucks to get hot apple juice;@emilydevlinxo;
0;0;.Binging the new and innovated solutions to our fingertips.. How could the IBM - Apple ... http:// bit.ly/1Entb4H pic.twitter.com/1N1mNWzUaF;;
0;0;Apple Watchが550ドルかぁ… Apple はジョブズが亡くなって、プロダクツも魅力が無くなったね。 値段相応の魅力が無い。;;
0;0;No compré mi case en el Apple Store, he madurado. #SoyFeliz;;#SoyFeliz
0;0;Apple to delay larger iPad production http:// ift.tt/1GlqAu0;;
0;0;Apple tie-up with HBO could bring Game of Thrones to the cord-cutters http://www. itsstillamerica.com/?p=11756;;
0;0;HBO in talks with Apple for standalone streaming service via @FortuneMagazine http:// for.tn/1w3X0Wv;@FortuneMagazine;
0;0;@CaptainSparklez I'm pretty sure that there is a way that you can beta test a new iOS/OS version through Apple;@CaptainSparklez;
0;0;Judges skeptical Apple suffered irreparable harm from Samsung patent infringement http:// ift.tt/18Radb7;;
0;1;@baileeebugg @TypicalGirI lol is this suppose to be me when Robert threw the apple at me and everyone moved out of my way?;@baileeebugg @TypicalGirI;
0;0;Apple to delay larger iPad production till September: report http:// goo.gl/fb/jYjU7Z;;
0;0;Judges skeptical Apple suffered irreparable harm from Samsung patent infringement http:// ift.tt/18Radb7 #Apple #Rumors;;#Apple #Rumors
0;0;Apple and HBO Near Deal on Video Streaming Service: CNBC via /r/technology http:// ift.tt/1FYLFHj pic.twitter.com/X93iLNFiSW;;
0;0;Judges skeptical Apple suffered irreparable harm from Samsung patent infringement http:// ift.tt/18Radb7;;
0;0;"Judges skeptical Apple suffered irreparable harm from Samsung patent infringement" http:// ift.tt/18Radb7 #TLS #News;;#TLS #News
0;0;Apple отложила выпуск iPad с увеличенным экраном;;
1;0;HBO streaming service could launch in April for $15 per month, work on Apple TV http://www. theverge.com/2015/3/4/81495 79/hbo-now-streaming-service-name-pricing-report …;;
0;0;Apple iPad Air 1st Gen 128GB, Wi-Fi, 9.7in - Silver, bundled with leather case! http:// ift.tt/1wWuoJN #iPadAir;;#iPadAir
0;0;Apple iPad Air 2 16GB, Wi-Fi, 9.7in - Gold (Latest Model) http:// ift.tt/1KmdcsD #iPadAir;;#iPadAir
0;0;Q el Galaxy 6 no se parece al iPhone juzguen uds mismo #Apple #SamsungGalaxyS6 #Geek http:// culturamac.com/segun-samsung- el-galaxy-s6-no-se-parece-en-el-diseno-al-iphone-6/ …;;#Apple #SamsungGalaxyS6 #Geek
0;0;「 Apple Pay」のセキュリティに思わぬ抜け穴〜なりすまし詐欺の格好の標的に http:// goo.gl/vChQmU;;
0;0;Snugg iPhone 6 Plus Case – Leather Flip Case with Lifetime Guarantee (Green) for Apple iPhone 6 Plus http:// dld.bz/d7Ypu;;
0;0;“HBO Now” coming this spring for $15 per month, with Apple as launch partner via /r/technology http:// ift.tt/1B3MajG pic.twitter.com/Pmzhmks9NL;;
1;1;Nintendo 2 Apple Logo Interaction Gambar ini bisa di pakai di semua tipe hp/tab yang tersedia. … https:// instagram.com/p/z0zmqDl_vh/;;
0;0;Wow... Apple Putting Banners Up at Yerba Buena Center Ahead of March 9 Event http:// goo.gl/fb/IeKJfZ;;
0;5;"yo Akshay this new @Migos mixtape is fire, you listened to it?" Nigga that's an apple pic.twitter.com/NQQChdXMKT;@Migos;
0;0;Apple and Google 'FREAK attack' leaves millions of users vulnerable to hackers (via @guardian ) http:// gu.com/p/46ake;@guardian;
0;0;It's not the iWatch, it's the apple watch...;;
1;2;@NYCSocialSports @SoundCloud must say loving it here, representing @SoAmpli in the big apple :) #startup;@NYCSocialSports @SoundCloud @SoAmpli;#startup
1;0;lmao Apple eating garlic bread crunch on snapchat;;
1;1;FREAK pone en riesgo a millones de terminales Apple y Android: La vulnerabilidad FREAK (CVE-2015-0204 ) -tambi... http:// cur.lv/jnlik;;
0;1;Apple pie;;
0;0;「なくなったiPhone/iPadが見つかった」的な知らせには冷静に対処を、iCloudアカウント（ Apple ID）までむしり取っていく手口かも -INTERNET Watch http:// internet.watch.impress.co.jp/docs/news/2015 0304_691146.html …;;
0;0;Apple le contestó al Samsung sobre la calidad de sus fotos http:// wp.me/p5aMjZ-16m;;
0;0;噂されてた大型iPadが9月に延期されるらしい / Bloomberg: Apple pushes back 12.9-inch iPad Pro production to September http:// fb.me/7SAZYKRlh;;
0;0;“ @Dritone : Sprawdź jak będzie wyglądał twój Apple Watch ;/ mój tak… byle do Google I/O :) pic.twitter.com/GUIZvijeWr ” zobaczę za 3 lata;@Dritone;
0;0;Apple to Delay Production of Larger 12.9-inch iPad? http:// ift.tt/1w4Pmev;;
0;0;次期iPhoneはついに2GBのRAMを搭載か？！「 Apple SIM」も？！ http:// dlvr.it/8qqrMC;;
0;0;Apple イヤホン アップルイヤホン ア… (¥1,111) フリマアプリ「メルカリ」で販売中♪ http:// item.mercariapp.com/jp/m208025396 pic.twitter.com/RgsRXITHig;;
0;0;"Millions saw the apple fall, but Newton asked why." - Bernard Baruch;;
0;0;Apple отложила выпуск iPad с увеличенным экраном;;
0;0;What Will the Grocery Experience Be Like with an Apple Watch?: Ever closer, the Apple Watch's release will hav... http:// bit.ly/1ALy7KC;;
0;0;#wbastore What Will the Grocery Experience Be Like with an Apple Watch?: Ever closer, the Apple Watch's releas... http:// bit.ly/1ALy7KC;;#wbastore
0;0;How has the Apple community not shamed @MacUpdate into stopping their shady spamming practices? #unsubscribe;@MacUpdate;#unsubscribe
0;0;El Yerba Buena se viste de Apple para el evento especial del día 9 de Marzo pic.twitter.com/qB4Y78lPDQ;;
0;0;Apple ha sido nuevamente acusada de estar “cazando” a empleados de Samsung http://www. nve24.com/2015/02/apple- ha-sido-nuevamente-acusada-de.html …;;
0;0;El Yerba Buena se viste de Apple para el evento especial del día 9 de Marzo http:// ift.tt/1wWtHQH;;
0;0;“HBO Now” coming this spring for $15 per month, with Apple as launch partner: A source speaking to the Inter... http:// bit.ly/1CydmZH;;
0;1;a as in apple;;
0;0;Apple イヤホン アップルイヤホン ア… (¥1,111) フリマアプリ「メルカリ」で販売中♪ http:// item.mercariapp.com/jp/m911330286 pic.twitter.com/GZE0NLlkJO;;
0;1;I just entered: Win a $500 Apple Gift Card. You can too! @k99radio http:// k99.com/vip/contests/s weeps/win-a-500-apple-gift-card/ …;@k99radio;
0;0;18金のApple Watch、金価格上昇を招くと懸念か http:// goo.gl/fb/SRbjIa ギズモード・ジャパン;;
0;0;Brenda more specials on Brand New iHome Helium Folio Case for iPad Air Pink/Fuchsia IH-IP1202U here http:// bit.ly/1BTbTNU #apple #shopping;;#apple #shopping
0;0;Allergic to apple but she loves it;;
0;0;Appleshare3: Apple Said to Delay Larger IPad Production on Panel Challenges - Bloomberg http:// dlvr.it/8qqftg;;
0;0;#NotiCel El Yerba Buena se viste de Apple para el evento especial del día 9 de Marzo http:// ift.tt/1wWtHQH;;#NotiCel
0;0;Apple отложила выпуск iPad с увеличенным экраном;;
0;0;「 Apple Watch」に戦々恐々？--大きな影響を受けそうな5つの業界 http:// japan.zdnet.com/article/350611 89/ … @zdnet_japan さんから;@zdnet_japan;
