retweets;favorites;text;mentions;hashtags
0;0;Apple iPhone 4 Unlocked Cell Phone $258 @http:// grazono.com;@http;
0;0;@_KnooMee cause apple fucken up;@_KnooMee;
0;0;iDontWork today or what apple ?;;
0;0;@Hazzasfondue i hate apple lol;@Hazzasfondue;
0;0;whoever comes over to my job and brings me some apple pie with pecan ice cream, will get a free drink on me. Im serious. Thanks :);;
0;1;Is anyone's apple id to sign into iMessage broken?;;
0;0;@Simche_RoyaleK Thank fuck! The amount of effort I made, restarting, updating and changing my apple Id and password is a joke:/;@Simche_RoyaleK;
0;0;Apple need to get it together;;
0;0;Apple need to get they shit together CHOP CHOP;;
5;0;Apple Headphones >>>>>>>>>>;;
0;0;Imessage isint fucking working -_- #Apple ?;;#Apple
0;0;I like Apple Tv better than all of you anyway;;
0;0;$500 http:// Amazon.com or Apple Gift Card Giveaway! @BoxWave wants to take you shopping - Enter ! http:// bit.ly/100s99h;@BoxWave;
0;0;Come on, lift your game apple !!!;;
0;0;Apple fucking up;;
0;0;RT @tecnologiafacil : Samsung logró incluir el iPhone 5 en la demanda contra Apple : La historia de nunca ... http:// m.tmi.me/zl7g8;@tecnologiafacil;
0;0;Dear Apple please make my iMessage work. #thissucks #howmuchlonger;;#thissucks #howmuchlonger
0;0;I need apple juice.;;
0;0;Come'on Apple , Fix My Shit;;
0;0;You know apple makin bucu money cuz they leave all the lights on in every store after they close;;
0;1;Apple is really pissing me off right now.;;
0;0;@S_Hughes88 Si, do you know much about Apple TV? is it any good/ worth getting?;@S_Hughes88;
0;0;nem a Apple fez um fone assim e eu consegui fazer;;
1;0;apple pie >;;
0;0;@Larry_Lovee wait are they good ? And do they have apple stix ?;@Larry_Lovee;
1;0;Get it together Apple;;
1;1;Apple needs to get their shit together;;
0;1;@ameg122 wrong its any messaging between apple devices;@ameg122;
0;1;Apple needs to get it together and fix iMessage. #disappointment;;#disappointment
0;0;Apple logo pic.twitter.com/KsGky2b;;
6;1;Apple Finna pay for any text message since the fucking up iMessages !;;
0;0;The apple doesn't fall too far from the tree;;
0;0;made my mom go but apple pie ingredients and now I don't want to make it... #awful #badchild;;#awful #badchild
0;0;@Vannahh_ Call Apple And See Where They Are;@Vannahh_;
0;1;MY FUCKING IMESSAGE AND APPLE ID IS STILL FUCKED UP AND IM ABOUT TO FUCKING KILL MYSELF!!!!!!!!!;;
0;0;[Stereogum] Fiona Apple – “Dull Tool” http:// dlvr.it/2VlWmK;;
0;0;FOR SALE: White Apple iPhone 4S 64GB with Otterbox Case. 4 Months Old, Excellent Condition, Comes with box, new USB charger, headphones;;
